waveform	[0]
t0	12/31/1903  16:00:00.000000
delta t	0.031250

time	Y[0]
12/31/1903  16:00:00.000000	-9.870361E-2
12/31/1903  16:00:00.031250	7.363281E-3
12/31/1903  16:00:00.062500	4.420605E-1
12/31/1903  16:00:00.093750	8.516211E-1
12/31/1903  16:00:00.125000	1.104111E+0
12/31/1903  16:00:00.156250	1.279336E+0
12/31/1903  16:00:00.187500	1.459536E+0
12/31/1903  16:00:00.218750	1.561672E+0
12/31/1903  16:00:00.250000	1.299463E+0
12/31/1903  16:00:00.281250	9.132935E-1
12/31/1903  16:00:00.312500	6.680884E-1
12/31/1903  16:00:00.343750	4.690698E-1
12/31/1903  16:00:00.375000	3.292432E-1
12/31/1903  16:00:00.406250	1.999634E-1
12/31/1903  16:00:00.437500	8.788818E-2
12/31/1903  16:00:00.468750	2.869629E-2
12/31/1903  16:00:00.500000	-1.214355E-2
12/31/1903  16:00:00.531250	-4.897949E-2
12/31/1903  16:00:00.562500	-8.135742E-2
12/31/1903  16:00:00.593750	-1.313477E-1
12/31/1903  16:00:00.625000	-1.802759E-1
12/31/1903  16:00:00.656250	-2.357202E-1
12/31/1903  16:00:00.687500	-2.917505E-1
12/31/1903  16:00:00.718750	-3.360205E-1
12/31/1903  16:00:00.750000	-3.912720E-1
12/31/1903  16:00:00.781250	-4.579907E-1
12/31/1903  16:00:00.812500	-5.126880E-1
12/31/1903  16:00:00.843750	-5.463721E-1
12/31/1903  16:00:00.875000	-5.828638E-1
12/31/1903  16:00:00.906250	-6.010864E-1
12/31/1903  16:00:00.937500	-6.058643E-1
12/31/1903  16:00:00.968750	-6.095068E-1
12/31/1903  16:00:01.000000	-6.169067E-1
12/31/1903  16:00:01.031250	-6.010107E-1
12/31/1903  16:00:01.062500	-5.689795E-1
12/31/1903  16:00:01.093750	-5.363843E-1
12/31/1903  16:00:01.125000	-5.177759E-1
12/31/1903  16:00:01.156250	-4.910352E-1
12/31/1903  16:00:01.187500	-4.621436E-1
12/31/1903  16:00:01.218750	-4.336768E-1
12/31/1903  16:00:01.250000	-4.029517E-1
12/31/1903  16:00:01.281250	-3.800732E-1
12/31/1903  16:00:01.312500	-3.706177E-1
12/31/1903  16:00:01.343750	-3.451953E-1
12/31/1903  16:00:01.375000	-3.390210E-1
12/31/1903  16:00:01.406250	-3.180396E-1
12/31/1903  16:00:01.437500	-3.036279E-1
12/31/1903  16:00:01.468750	-3.014600E-1
12/31/1903  16:00:01.500000	-2.887109E-1
12/31/1903  16:00:01.531250	-2.683765E-1
12/31/1903  16:00:01.562500	-2.671558E-1
12/31/1903  16:00:01.593750	-2.627759E-1
12/31/1903  16:00:01.625000	-2.418872E-1
12/31/1903  16:00:01.656250	-2.211426E-1
12/31/1903  16:00:01.687500	-2.080640E-1
12/31/1903  16:00:01.718750	-1.833203E-1
12/31/1903  16:00:01.750000	-1.675293E-1
12/31/1903  16:00:01.781250	-1.646094E-1
12/31/1903  16:00:01.812500	-1.411597E-1
12/31/1903  16:00:01.843750	-1.284888E-1
12/31/1903  16:00:01.875000	-1.266455E-1
12/31/1903  16:00:01.906250	-1.176685E-1
12/31/1903  16:00:01.937500	-1.242822E-1
12/31/1903  16:00:01.968750	-1.343335E-1
12/31/1903  16:00:02.000000	-1.223291E-1
12/31/1903  16:00:02.031250	-1.190308E-1
12/31/1903  16:00:02.062500	-1.166309E-1
12/31/1903  16:00:02.093750	-1.035937E-1
12/31/1903  16:00:02.125000	-1.103687E-1
12/31/1903  16:00:02.156250	-1.110059E-1
12/31/1903  16:00:02.187500	-9.933350E-2
12/31/1903  16:00:02.218750	-1.044922E-1
12/31/1903  16:00:02.250000	-1.093970E-1
12/31/1903  16:00:02.281250	-9.202637E-2
12/31/1903  16:00:02.312500	-8.421875E-2
12/31/1903  16:00:02.343750	-7.551025E-2
12/31/1903  16:00:02.375000	-6.916992E-2
12/31/1903  16:00:02.406250	-8.090820E-2
12/31/1903  16:00:02.437500	-8.541748E-2
12/31/1903  16:00:02.468750	-6.533447E-2
12/31/1903  16:00:02.500000	-7.863037E-2
12/31/1903  16:00:02.531250	-9.603027E-2
12/31/1903  16:00:02.562500	-8.229980E-2
12/31/1903  16:00:02.593750	-8.940918E-2
12/31/1903  16:00:02.625000	-8.754150E-2
12/31/1903  16:00:02.656250	-7.797607E-2
12/31/1903  16:00:02.687500	-7.869141E-2
