locn,slocn,ht,sht,prob,Ntot,
1032.68573,3.373923253,2.244191051,0.600117539,1,20,20
1102.358783,0.127706034,0.152524406,0.002816342,0.6,20,12
1139.90994,0.205230218,0.368048005,0.06506345,0.25,20,5
1183.178643,0.05519803,0.322111333,0.014034331,0.35,20,7
1297.789375,0.105594836,0.119404924,0.003558062,1,20,20
1441.0013,0.4041005,1.387438666,2.235297191,0.1,20,2
1474.063044,0.147657656,0.244798379,0.10100122,0.9,20,18
1593.2156,0,4.69400018,0,0.05,20,1
2389.435814,0.356096861,0.914408996,0.268292744,0.35,20,7
3651.1716,0.13760258,40.13625023,0.314708301,0.1,20,2
4078.0111,0,6.518898303,0,0.05,20,1
4366.03363,0.605884212,0.722302578,0.087863836,1,20,20
4783.509781,7.637472707,18.05633526,181.7652435,0.8,20,16
5097.52976,5.452907728,6.054181468,2.993486768,0.25,20,5
5383.370155,1.216667742,1.867400487,1.573817548,1,20,20
6116.680635,0.525533339,0.836424681,0.075317399,1,20,20
6209.683386,1.487787995,3.006702335,1.155801665,0.35,20,7
6256.19893,0.921196871,1.151149315,0.151722808,1,20,20
6316.79746,1.718011092,1.585456735,0.283226814,1,20,20
6422.44672,7.510590336,7.867512637,9.450138447,1,20,20
6855.4719,0,51.48870556,0,0.05,20,1
7161.729935,3.892827448,2.91115386,1.165732572,1,20,20
7276.930035,4.521836687,3.459507857,2.254275976,1,20,20
7334.129819,1.78315843,3.369886164,15.60760104,0.8,20,16
7873.305935,3.924309605,3.28396934,1.066845535,1,20,20
8132.80685,356.4797108,32.47811608,1391.306272,0.1,20,2
8370.16913,1.361632313,2.229816563,0.67162877,1,20,20
8892.95174,3.998040709,8.612525822,6.232787638,1,20,20
8995.67535,1.193620283,3.182164147,1.11364864,1,20,20
9207.5554,0,100,0,0.05,20,1
9219.278689,22.8519949,32.92102485,246.4961847,0.9,20,18
9556.74323,7.486706575,6.974783071,8.256474175,1,20,20
10171.38807,5.846836495,16.26361187,134.29424,0.75,20,15
10178.908,0,17.44400232,0,0.05,20,1
10318.67522,23.01122348,24.67577588,108.5514715,0.9,20,18
10333.7905,23.6190645,45.01828747,0.303075062,0.1,20,2
10684.49,16.81892717,33.11007293,141.0082971,0.65,20,13
11193.41142,9.095253702,13.5761661,21.98962831,0.95,20,19
11202.685,0,21.16548231,0,0.05,20,1
11456.22641,7.280018882,15.0989788,32.68458728,0.85,20,17
11466.518,0,32.32944792,0,0.05,20,1
12231.5859,0.565740937,5.155295889,3.026968438,1,20,20
12415.9295,0.919105842,10.03058466,8.238158429,1,20,20
12598.25485,3.714919308,45.60509059,231.0109061,0.65,20,13
13004.325,0,80.30825147,0,0.05,20,1
13658.927,0,62.08375682,0,0.05,20,1
24470.7287,21.73598538,99.87766496,0.299317256,1,20,20
