pep_eVal,scanID,ppm_error,theoMZ,hScore,nextScore,deltaH,pepLen,pro_eVal
0.0027,2506,0.202683606,789.4077043,44,27.5,16.5,21,-222.7
0.0027,2506,0.202683606,789.4077043,44,27.5,16.5,21,-222.7
0.0027,2506,0.202683606,789.4077043,44,27.5,16.5,21,-222.7
0.0027,2506,0.202683606,789.4077043,44,27.5,16.5,21,-222.7
0.0003,2071,1.030935233,588.3007782,42.5,23.6,18.9,10,-222.7
0.0003,2071,1.030935233,588.3007782,42.5,23.6,18.9,10,-222.7
0.0003,2071,1.030935233,588.3007782,42.5,23.6,18.9,10,-222.7
0.0003,2071,1.030935233,588.3007782,42.5,23.6,18.9,10,-222.7
0.0085,2467,0.558405739,605.2946382,34.8,17.3,17.5,10,-222.7
0.0085,2467,0.558405739,605.2946382,34.8,17.3,17.5,10,-222.7
0.0085,2467,0.558405739,605.2946382,34.8,17.3,17.5,10,-222.7
0.0085,2467,0.558405739,605.2946382,34.8,17.3,17.5,10,-222.7
1.10E-05,3322,-0.99484436,1077.555488,49.5,24,25.5,21,-222.7
1.10E-05,3322,-0.99484436,1077.555488,49.5,24,25.5,21,-222.7
1.10E-05,3322,-0.99484436,1077.555488,49.5,24,25.5,21,-222.7
1.10E-05,3322,-0.99484436,1077.555488,49.5,24,25.5,21,-222.7
2.60E-05,3532,-0.452436124,1210.115573,35.9,20.3,15.6,22,-222.7
2.60E-05,3532,-0.452436124,1210.115573,35.9,20.3,15.6,22,-222.7
2.60E-05,3532,-0.452436124,1210.115573,35.9,20.3,15.6,22,-222.7
2.60E-05,3532,-0.452436124,1210.115573,35.9,20.3,15.6,22,-222.7
3.70E-05,3502,-1.103787881,1347.632118,32.8,14.9,17.9,23,-222.7
3.70E-05,3502,-1.103787881,1347.632118,32.8,14.9,17.9,23,-222.7
3.70E-05,3502,-1.103787881,1347.632118,32.8,14.9,17.9,23,-222.7
3.70E-05,3502,-1.103787881,1347.632118,32.8,14.9,17.9,23,-222.7
0.0055,1381,-1.606230108,537.2829182,42,22.2,19.8,9,-222.7
0.0055,1381,-1.606230108,537.2829182,42,22.2,19.8,9,-222.7
0.0055,1381,-1.606230108,537.2829182,42,22.2,19.8,9,-222.7
0.0055,1381,-1.606230108,537.2829182,42,22.2,19.8,9,-222.7
0.00095,2516,0.6780903,765.3847876,44.8,33.5,11.3,21,-222.7
0.00095,2516,0.6780903,765.3847876,44.8,33.5,11.3,21,-222.7
0.00095,2516,0.6780903,765.3847876,44.8,33.5,11.3,21,-222.7
0.00095,2516,0.6780903,765.3847876,44.8,33.5,11.3,21,-222.7
6.20E-05,3303,-1.082279808,1105.074668,35.5,20.9,14.6,21,-222.7
6.20E-05,3303,-1.082279808,1105.074668,35.5,20.9,14.6,21,-222.7
6.20E-05,3303,-1.082279808,1105.074668,35.5,20.9,14.6,21,-222.7
6.20E-05,3303,-1.082279808,1105.074668,35.5,20.9,14.6,21,-222.7
0.0033,2132,-0.550386544,740.6915576,43.3,31.6,11.7,20,-222.7
0.0033,2132,-0.550386544,740.6915576,43.3,31.6,11.7,20,-222.7
