locn,slocn,ht,sht,prob,Ntot
1032.68573,1.83682423,2.247541173,0.776759693,1,20
1297.789375,0.32495359,0.119674825,0.060116265,1,20
1474.063044,0.384262483,0.245060879,0.317759509,0.9,20
4366.03363,0.778385645,0.723085631,0.296166759,1,20
4783.509781,2.763597783,18.07781092,13.4749044,0.8,20
5383.370155,1.103026628,1.869011834,1.253751795,1,20
6116.680635,0.724936783,0.837924555,0.276582578,1,20
6256.19893,0.959790014,1.152852749,0.390543153,1,20
6316.79746,1.310729221,1.587118536,0.531386309,1,20
6422.44672,2.740545628,7.880178382,3.08429503,1,20
7161.729935,1.973024949,2.916555039,1.087284963,1,20
7276.930035,2.126461071,3.465845328,1.508757321,1,20
7334.129819,1.335349553,3.396413752,4.047945662,0.8,20
7873.305935,1.980987028,3.288065176,1.032970104,1,20
8370.16913,1.166890017,2.232609796,0.819616132,1,20
8892.95174,1.999510117,8.623805439,2.498881139,1,20
8995.67535,1.092529305,3.18651796,1.056732219,1,20
9219.278689,4.780376021,32.92102485,15.70019696,0.9,20
9556.74323,2.736184675,6.982291566,2.870887502,1,20
10171.38807,2.418023262,16.33858043,11.7884981,0.75,20
10318.67522,4.797001509,24.71472341,10.43307207,0.9,20
11193.41142,3.015833832,13.60115678,4.72059847,0.95,20
11456.22641,2.698151012,15.11475838,5.704486661,0.85,20
12231.5859,0.752157521,5.162108944,1.741229098,1,20
12415.9295,0.958700079,10.04546065,2.880964494,1,20
24470.7287,4.662186759,100,6.52E-15,1,20
